idx,title,text,rating,true,pred,correct,emotion,raw,nrc_emotion,nrc_score,llm_emotion_clean
0,Quick,Reload quick,3.0,NEUTRAL,POSITIVE,False,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",,0,trust
1,It was something.,It was something.,1.0,NEGATIVE,NEUTRAL,False,surprise,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""surprise""}",,0,surprise
2,New mom loves it,It made a great impression and my friend remarked how adorable it looks.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,2,joy
3,Three Stars,"The amount purchased ia correct, but the card has swipe marks.",3.0,NEUTRAL,NEGATIVE,False,disgust,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""disgust""}",,0,disgust
4,Reload,For the most part it's pretty easy sometimes it takes a little while,3.0,NEUTRAL,POSITIVE,False,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",anticipation,1,trust
5,Not allowed to buy gift cards?,Pretty stupid. Nobody likes products that come with caveats.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
6,I thought the $6.95 charge was excesive,The loading charge I thought was excessive,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
7,Five Stars,everyone loved,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
8,Good product at a good price. Recommend.,Good product at a good price. Recommend.,3.0,NEUTRAL,POSITIVE,False,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",trust,3,trust
9,"Nice Product, but delivery problems","Nice product, but delivery problems",3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
10,Easy to give as a gift.,Gas card.,5.0,POSITIVE,POSITIVE,True,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",,0,trust
11,Poor security.,I did not buy this card. My account was compromised. Gave one star for poor security on Amazon’s part.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",trust,2,anger
12,ZERO BALANCE!!!,Fandango card was empty!,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
13,.,Not packaged as described,2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
14,Do not recommend,The worst part is that there is no value on the card can’t tell how much each is,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
15,"Iffy use,...depends on situation, check fine print",Worked fine for gas.  Did NOT work to reload my Sunpass.,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
16,Easy Simple and Enjoyable,It was great 👍,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
17,OK,OK,3.0,NEUTRAL,NEUTRAL,True,trust,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""trust""}",,0,trust
18,Three Stars,like,3.0,NEUTRAL,POSITIVE,False,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",,0,trust
19,Very simple to use and it's very quick.,"I wanted to reload on my account so I did. It was very quick and easy. I was thinking it would take more than 5 minutes, but it actually reloaded for less than 5 minutes, so they were right. I would totally use this again in the future when I need to reload on my account.",5.0,POSITIVE,POSITIVE,True,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",trust,2,trust
20,Activation process is a nightmare,I gave this as a gift and was embarrassed by how troublesome it was for the recipient to activate. It involved numerous phone calls and visits to the website before this could be used. Next time I am giving cash!,2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,5,anger
21,Reload plus bonus,What’s not to like I used a visa gift card I got as a reward to reload.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,2,joy
22,Some of the card did not work when trying to enter them into my account. What do I do?,I was told some of the cards did not work. WHAT DO I DO!,2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
23,Good,Good,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,1,joy
24,Classy Gift card in a holiday Box,Perfect for holiday gift giving in a premium gift box.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",anticipation,4,joy
25,Great small gift,These are great for small gifts for customers. I put one in a card and everyone is thrilled to get them.,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
26,arrived fast!,Always love a gift card!,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,2,joy
27,Didn’t have to go anywhere got it the next day,Easy,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",,0,joy
28,Cheap card. Nice tin,The card inside was cheap. I didn’t realize it was a paper card and not a plastic one. Better off getting a card at the store.,2.0,NEGATIVE,NEGATIVE,True,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anticipation,1,sadness
29,One Star,I never received these gift cards.,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
30,One card was redeemed.,"It's a shame but I ordered $250 worth of Uber Eats - $50 - 5 cards.  When we went to use one of the cards, it was rejected because it said it had already been redeemed.  I don't know how this could happen.",1.0,NEGATIVE,NEGATIVE,True,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",anticipation,1,sadness
31,Beware of scatching,Scratched off back and 2 letters or numbers were removed as well ..,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
32,Quick Shipping but..,I'm just frustrated that I couldn't add it to my Apple Pay wallet. It's not compatible in that way. There were times that my husband had the card and I needed it so it would have been super convenient if I were able to add it to my phone wallet.,3.0,NEUTRAL,NEGATIVE,False,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anger,1,anger
33,Paper gift card - boo,Holder  is perfect. Gift card that came was paper with a sticker on the back. The claim code is permanently adhered to the back of the sticker. I guessed a few letters of it and contacted Amazon hoping they would credit the amount to my account. It is for $50 I certainly hope they give it to me!,1.0,NEGATIVE,NEGATIVE,True,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",trust,4,sadness
34,Don't use it,"After two days I still haven't got my credit on my gift card, still shows a balance of zero. Within 5 minutes, that's a joke.",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,1,anger
35,Five Stars,Can't go wrong with a $25 dollar gift card,5.0,POSITIVE,POSITIVE,True,trust,"{""sentiment"": ""POSITIVE"", ""emotion"": ""trust""}",anticipation,1,trust
36,It is a card.,"The presentation seemed kind of cheesy and Christmasy. Other than that, it is a card. Nothing too exciting or disappointing.",3.0,NEUTRAL,NEUTRAL,True,trust,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""trust""}",joy,2,trust
37,Never got,Never got the $10,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",,0,anger
38,loading from a debit card randomly doesn't work,"loading from a debit card randomly doesn't work with very unhelpful message, that is hard to understand and take action on",1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",surprise,1,anger
39,not useful to add to apple wallet,Bought this for my daughters apple wallet so she did not have to worry about losing a credit card. Complete waste of time,1.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,2,anger
40,Search for coupon to get free money!,Who doesn't love getting some free money when you reload your cards?,5.0,POSITIVE,POSITIVE,True,joy,"{""sentiment"": ""POSITIVE"", ""emotion"": ""joy""}",joy,2,joy
41,Did what any Giftcard does,"Came on time, worked, not much else to say.",3.0,NEUTRAL,NEUTRAL,True,trust,"{""sentiment"": ""NEUTRAL"", ""emotion"": ""trust""}",anticipation,1,trust
42,Three Stars,Really not all that impressed,3.0,NEUTRAL,NEGATIVE,False,sadness,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""sadness""}",,0,sadness
43,"Poorly done UI interface, no way to undo","First of all, I really don't like that they default the value to $100. I accidentally ordered a $100 gift card because of this.<br />Second, I tried adding a new card, and missed seeing the second 'Add card' button. (why should I have to click the words 'Add card' two times?) There is no way to cancel the order like other kinds of orders, since they are so happy to take the money it processes instantly. No confirmation page like when ordering off a shopping cart.",2.0,NEGATIVE,NEGATIVE,True,anger,"{""sentiment"": ""NEGATIVE"", ""emotion"": ""anger""}",anticipation,4,anger
